pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
3	3.071571	0.044				-0.023
2	3.289672	0.044				-0.12
3	4.081423	0.044				-0.046
2	3.3118644	0.044			1.03	0.44
1	2.7347749	0.04415	0	83.76	1.28	0.139
1	2.995607	0.04419	0	82.06	1.76	0.24
1	3.332687	0.0443	0	88.7	0.662	0.23
1	3.092514	0.0443	0.022		0.916	0.137
1	3.056536	0.04438	0	89.91	0.671	
1	3.446459	0.0444	0.12	85.6	1.855	
1	3.2467293	0.0446	0.066	84.96	1	0.15
1	3.577469	0.0446	0	88.82	1.8	
1	3.40883	0.04469	0	88.61	0.907	-0.29
3	3.504725	0.0447	0	84.92	0.022	0.19
1	2.705782	0.0447	0	87.9	1.24	0.12
1	3.37265	0.0449	0.017	86.3	0.6	-0.02
1	3.2888	0.0449	0.18	87.9	0.28	0.17
1	3.312846	0.04491	0.501	87.79	0.526	0.15
2	3.834887	0.045	0.059		0.06607	0.19
1	3.00265	0.045	0	88.49	0.426	0.01
2	3.25427	0.045				-0.094
2	3.763024	0.045				0.009
2	4.069427	0.045				0.012
4	3.38802	0.045				0.061
5	3.715335	0.045				0.077
2	3.292781	0.045				-0.131
2	3.281959	0.045				-0.081
1	3.57878087	0.04501	0	88	0.43	0.2
5	7.267302	0.0451				-0.26
7	12.35294	0.0451	0.061	89.71	0.00422	0.04
1	3.48777	0.0452	0.019		0.458	0.382
1	3.128992	0.0452	0.049	87.8	0.892	0.07
1	3.8681382	0.04525	0	86.71	0.26	0.144
1	3.1220109	0.0453	0.115	83.65	1.35	-0.18
1	3.4252602	0.0453	0	85.6	0.48	0.14
1	3.1915239	0.0454	0.26	84.2	11.79	
1	2.8717518	0.0455	0	88.86	1.18	0.09
1	3.21346	0.0456	0	89.76	0.077	0.17
1	2.849375	0.0457	0	82.6	2.03	-0.03
1	3.922727	0.0457	0.03	88.8	0.244	
1	3.24406	0.04571	0.035	82.65	0.867	0.272
2	3.698	0.046	0	80	0.02643	0.138
2	3.341815	0.046				0.005
3	3.619337	0.046				0.194
4	4.159807	0.046				
3	3.783986	0.046				0.052
2	3.553822	0.046				-0.078
1	3.0240949	0.046		84.646	3.23	0.33
1	3.5852467	0.04604	0.139	87.7	0.582	-0.03
1	3.7681	0.0461	0	88.34	2.43	0
4	7.7599	0.0461				
